mcav_gene_name,orthogroup,entry
Mcav_TRINITY_GG_35625_c12_g1_i1.p1,OG0000689,P16065
Mcav_TRINITY_GG_40430_c4_g1_i1.p2,OG0000851,Q63413
Mcav_TRINITY_GG_10451_c5_g1_i2.p1,OG0004162,NA
Mcav_TRINITY_GG_8441_c2_g1_i1.p1,OG0002074,Q80U44
Mcav_TRINITY_GG_50018_c8_g1_i1.p1,OG0002309,O88329
Mcav_TRINITY_GG_42063_c2_g1_i1.p1,OG0001926,Q4R7U0
Mcav_TRINITY_GG_32873_c10_g1_i1.p1,OG0008650,Q7T3H7
Mcav_TRINITY_GG_19663_c8_g1_i1.p1,OG0000334,Q13813
Mcav_TRINITY_GG_2264_c42_g2_i1.p2,OG0005351,A2VDD2
Mcav_TRINITY_GG_53883_c11_g1_i1.p1,OG0008147,Q5T7B8
Mcav_TRINITY_GG_19222_c8_g1_i1.p1,OG0001271,P30876
Mcav_TRINITY_GG_8917_c12_g1_i3.p1,OG0002273,Q95YJ5
Mcav_TRINITY_GG_10708_c13_g2_i1.p1,OG0005223,Q8BH16
Mcav_TRINITY_GG_50504_c23_g1_i1.p1,OG0003566,P70563
Mcav_TRINITY_GG_18941_c1_g1_i1.p1,OG0000691,NA
Mcav_TRINITY_GG_16546_c10_g1_i1.p1,OG0002973,P61023
Mcav_TRINITY_GG_1956_c18_g1_i1.p1,OG0008450,Q5VT52
Mcav_TRINITY_GG_59630_c2_g1_i1.p1,OG0003272,E9PY46
Mcav_TRINITY_GG_30880_c6_g1_i1.p1,OG0002928,Q4R4J0
Mcav_TRINITY_GG_32560_c3_g1_i1.p1,OG0011214,A1ZAY1
Mcav_TRINITY_GG_32920_c11_g2_i2.p2,OG0005667,Q8TEB1
Mcav_TRINITY_GG_16298_c15_g1_i3.p1,OG0001493,Q9UBX3
Mcav_TRINITY_GG_53482_c13_g1_i1.p1,OG0005952,Q0P678
Mcav_TRINITY_GG_6524_c25_g1_i1.p1,OG0000940,P13607
Mcav_TRINITY_GG_1180_c20_g1_i1.p1,OG0001867,Q8N264
Mcav_TRINITY_GG_17997_c2_g2_i2.p2,OG0004753,Q5RA42
Mcav_TRINITY_GG_29355_c3_g1_i1.p1,OG0005125,Q96ST3
Mcav_TRINITY_GG_31054_c1_g2_i1.p1,OG0004458,O55012
Mcav_TRINITY_GG_61067_c5_g1_i3.p1,OG0003104,P0CB49
Mcav_TRINITY_GG_30228_c6_g1_i1.p2,OG0005504,P61082
Mcav_TRINITY_GG_36270_c3_g1_i1.p1,OG0001530,Q9VQX4
Mcav_TRINITY_GG_59835_c0_g1_i1.p1,OG0006728,Q8FHD2
Mcav_TRINITY_GG_2393_c0_g1_i1.p2,OG0000457,Q8R054
Mcav_TRINITY_GG_19705_c2_g1_i1.p1,OG0001522,Q9BYX4
Mcav_TRINITY_GG_51440_c1_g1_i1.p1,OG0005203,NA
Mcav_TRINITY_GG_58400_c57_g1_i1.p1,OG0002717,O15439
Mcav_TRINITY_GG_30116_c10_g1_i1.p1,OG0000504,NA
Mcav_TRINITY_GG_7908_c3_g1_i1.p1,OG0008297,Q9EQW7
Mcav_TRINITY_GG_44679_c1_g1_i2.p1,OG0012062,NA
Mcav_TRINITY_GG_6460_c0_g1_i1.p1,OG0002710,Q8K2H1
Mcav_TRINITY_GG_10351_c2_g1_i1.p1,OG0002426,Q6DIH3
Mcav_TRINITY_GG_49594_c1_g1_i1.p1,OG0007487,Q9Y6H1
Mcav_TRINITY_GG_22686_c5_g1_i1.p1,OG0008769,O80983
Mcav_TRINITY_GG_36760_c12_g1_i1.p1,OG0008763,Q91W50
Mcav_TRINITY_GG_1588_c9_g1_i3.p1,OG0001564,Q64560
Mcav_TRINITY_GG_39478_c73_g1_i1.p1,OG0001382,NA
Mcav_TRINITY_GG_25961_c2_g1_i1.p1,OG0001659,NA
Mcav_TRINITY_GG_37960_c0_g1_i1.p1,OG0003152,Q7TMK9
Mcav_TRINITY_GG_20764_c4_g1_i1.p1,OG0005798,Q8N0X7
Mcav_TRINITY_GG_15392_c2_g1_i1.p1,OG0001787,Q8CHU3
Mcav_TRINITY_GG_4927_c24_g1_i2.p1,OG0000428,Q9Z1G4
Mcav_TRINITY_GG_45613_c1_g1_i2.p1,OG0006256,Q2KID0
Mcav_TRINITY_GG_28021_c4_g1_i1.p1,OG0006136,Q8N1V2
Mcav_TRINITY_GG_45927_c1_g1_i3.p1,OG0003147,P61222
Mcav_TRINITY_GG_36858_c7_g1_i1.p1,OG0001380,A7SFB5
Mcav_TRINITY_GG_10328_c7_g1_i1.p1,OG0007979,A4IIM3
Mcav_TRINITY_GG_11611_c0_g1_i1.p1,OG0000305,NA
Mcav_TRINITY_GG_38665_c1_g1_i1.p1,OG0011301,Q9Y693
Mcav_TRINITY_GG_45211_c6_g1_i1.p1,OG0002367,Q32PF2
Mcav_TRINITY_GG_43304_c5_g1_i1.p1,OG0004330,Q15393
Mcav_TRINITY_GG_23007_c14_g1_i2.p1,OG0005522,Q8IZD2
Mcav_TRINITY_GG_51724_c10_g1_i1.p1,OG0001520,NA
Mcav_TRINITY_GG_23664_c23_g1_i2.p1,OG0001019,Q9NXS3
Mcav_TRINITY_GG_58125_c6_g1_i1.p1,OG0003494,Q9CXF4
Mcav_TRINITY_GG_14867_c2_g1_i1.p1,OG0007894,Q71U00
Mcav_TRINITY_GG_37481_c0_g1_i1.p1,OG0002462,NA
Mcav_TRINITY_GG_19292_c6_g1_i1.p1,OG0004827,Q95108
Mcav_TRINITY_GG_6708_c9_g1_i1.p1,OG0002095,Q6P7A2
Mcav_TRINITY_GG_5177_c6_g1_i3.p1,OG0008692,Q8R317
Mcav_TRINITY_GG_24501_c1_g1_i1.p1,OG0001831,NA
Mcav_TRINITY_GG_13982_c11_g1_i1.p1,OG0002117,B3EWZ5
Mcav_TRINITY_GG_7938_c1_g1_i1.p1,OG0001360,Q9P2K5
Mcav_TRINITY_GG_53468_c43_g1_i1.p1,OG0008085,Q96DY2
Mcav_TRINITY_GG_43099_c3_g1_i1.p1,OG0007306,Q9U505
Mcav_TRINITY_GG_5229_c0_g1_i1.p1,OG0011007,Q9BYD3
Mcav_TRINITY_GG_45947_c3_g1_i1.p1,OG0007854,F1M625
Mcav_TRINITY_GG_17870_c3_g2_i1.p1,OG0000336,A0A0R4IBK5
Mcav_TRINITY_GG_54907_c4_g1_i1.p2,OG0007206,Q7SXM0
Mcav_TRINITY_GG_45769_c0_g1_i1.p1,OG0002242,Q58A42
Mcav_TRINITY_GG_53474_c5_g1_i1.p1,OG0006105,Q58EX7
Mcav_TRINITY_GG_45257_c2_g1_i2.p1,OG0007155,Q9Z2X2
Mcav_TRINITY_GG_18113_c2_g1_i1.p1,OG0003203,P51610
Mcav_TRINITY_GG_56858_c11_g1_i1.p1,OG0000486,Q05974
Mcav_TRINITY_GG_20690_c15_g1_i1.p1,OG0003062,E1BPK6
Mcav_TRINITY_GG_43241_c0_g1_i1.p1,OG0010212,NA
Mcav_TRINITY_GG_31509_c15_g1_i1.p1,OG0000150,NA
Mcav_TRINITY_GG_54451_c7_g1_i1.p1,OG0002362,Q4R8N7
Mcav_TRINITY_GG_33782_c6_g1_i3.p1,OG0003126,O94812
Mcav_TRINITY_GG_26741_c0_g1_i1.p1,OG0007787,NA
Mcav_TRINITY_GG_11202_c2_g1_i1.p1,OG0002846,P21613
Mcav_TRINITY_GG_56678_c0_g1_i1.p1,OG0003491,Q9Y5A7
Mcav_TRINITY_GG_5805_c4_g1_i1.p1,OG0012630,Q96EZ8
Mcav_TRINITY_GG_10671_c1_g1_i1.p1,OG0004305,Q9JJN0
Mcav_TRINITY_GG_42649_c11_g1_i1.p1,OG0003647,Q2HJ56
Mcav_TRINITY_GG_56532_c5_g1_i1.p1,OG0001150,Q04462
Mcav_TRINITY_GG_35049_c8_g1_i1.p1,OG0005881,O13786
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,OG0005018,NA
Mcav_TRINITY_GG_13153_c7_g1_i1.p1,OG0006197,Q9WV92
Mcav_TRINITY_GG_47485_c3_g2_i3.p1,OG0008734,NA
Mcav_TRINITY_GG_28530_c1_g1_i1.p1,OG0011390,Q96DB2
Mcav_TRINITY_GG_15159_c0_g1_i1.p2,OG0000137,Q00808
Mcav_TRINITY_GG_13683_c0_g1_i1.p1,OG0002261,NA
Mcav_TRINITY_GG_54939_c0_g1_i5.p1,OG0001139,Q8CF97
Mcav_TRINITY_GG_4146_c2_g1_i1.p1,OG0002332,A2A8L1
Mcav_TRINITY_GG_22519_c6_g1_i4.p1,OG0004414,Q5T1H1
Mcav_TRINITY_GG_47843_c3_g1_i1.p1,OG0007698,Q6TH22
Mcav_TRINITY_GG_56726_c175_g1_i1.p1,OG0008515,Q6P2K3
Mcav_TRINITY_GG_12153_c5_g2_i1.p1,OG0001820,P30173
Mcav_TRINITY_GG_35565_c7_g1_i1.p1,OG0011475,Q5ZMV7
Mcav_TRINITY_GG_56781_c7_g2_i2.p1,OG0004320,P15690
Mcav_TRINITY_GG_41541_c2_g1_i1.p1,OG0007459,Q9R1S4
Mcav_TRINITY_GG_49706_c2_g1_i1.p2,OG0001358,A5A6H5
Mcav_TRINITY_GG_26795_c152_g1_i1.p1,OG0010668,NA
Mcav_TRINITY_GG_22300_c2_g1_i1.p1,OG0001957,Q94HW2
Mcav_TRINITY_GG_39104_c126_g1_i1.p1,OG0003911,Q6P5I8
Mcav_TRINITY_GG_45366_c6_g1_i1.p1,OG0006194,Q90837
Mcav_TRINITY_GG_35508_c5_g1_i3.p1,OG0000911,Q9HCE0
Mcav_TRINITY_GG_1166_c15_g1_i1.p1,OG0003664,B2RRE7
Mcav_TRINITY_GG_20191_c6_g1_i2.p1,OG0007942,Q5TYQ8
Mcav_TRINITY_GG_6884_c23_g1_i1.p1,OG0002084,A6QLU6
Mcav_TRINITY_GG_17835_c7_g1_i1.p1,OG0002939,Q6NWC9
Mcav_TRINITY_GG_42833_c2_g1_i1.p1,OG0007341,NA
Mcav_TRINITY_GG_35390_c0_g1_i1.p1,OG0010082,NA
Mcav_TRINITY_GG_19634_c2_g1_i1.p1,OG0002379,P17130
Mcav_TRINITY_GG_16143_c3_g2_i1.p1,OG0006103,Q6DRN3
Mcav_TRINITY_GG_23852_c10_g1_i1.p1,OG0005076,Q5ZL00
Mcav_TRINITY_GG_2368_c4_g2_i1.p1,OG0003813,Q92542
Mcav_TRINITY_GG_48424_c14_g1_i3.p1,OG0001525,Q91WU5
Mcav_TRINITY_GG_5057_c2_g1_i1.p1,OG0001502,O08684
Mcav_TRINITY_GG_56609_c2_g1_i1.p1,OG0005611,P05198
Mcav_TRINITY_GG_24445_c2_g1_i2.p1,OG0004436,O02467
Mcav_TRINITY_GG_10549_c6_g1_i1.p1,OG0002319,O13035
Mcav_TRINITY_GG_6667_c4_g1_i1.p2,OG0008093,Q6P1V8
Mcav_TRINITY_GG_5949_c4_g1_i1.p1,OG0002744,P46472
Mcav_TRINITY_GG_10844_c0_g1_i1.p1,OG0001221,NA
Mcav_TRINITY_GG_15091_c0_g1_i1.p1,OG0000138,O17798
Mcav_TRINITY_GG_15029_c88_g1_i1.p1,OG0003597,P06756
Mcav_TRINITY_GG_33222_c4_g1_i6.p1,OG0007545,P51577
Mcav_TRINITY_GG_45558_c3_g3_i1.p1,OG0008240,Q8BH01
Mcav_TRINITY_GG_15233_c38_g1_i1.p1,OG0000641,NA
Mcav_TRINITY_GG_19657_c4_g1_i2.p1,OG0004123,NA
Mcav_TRINITY_GG_5817_c16_g1_i1.p1,OG0001559,NA
Mcav_TRINITY_GG_31001_c12_g1_i1.p1,OG0008574,Q68FD5
Mcav_TRINITY_GG_23179_c9_g1_i1.p1,OG0003994,Q5R5Z5
Mcav_TRINITY_GG_55385_c2_g1_i1.p1,OG0008738,Q28ID3
Mcav_TRINITY_GG_18207_c11_g1_i2.p1,OG0003297,Q5RHR6
Mcav_TRINITY_GG_14472_c0_g1_i1.p1,OG0003555,O88956
Mcav_TRINITY_GG_55198_c0_g1_i1.p1,OG0005153,B3DL53
Mcav_TRINITY_GG_60767_c15_g1_i2.p1,OG0008850,Q6Q759
Mcav_TRINITY_GG_32544_c13_g1_i1.p1,OG0008079,Q8N118
Mcav_TRINITY_GG_50011_c0_g1_i1.p1,OG0008152,NA
Mcav_TRINITY_GG_52909_c15_g1_i1.p1,OG0005511,Q9WV92
Mcav_TRINITY_GG_57056_c3_g1_i3.p1,OG0005069,P16157
Mcav_TRINITY_GG_38754_c18_g2_i1.p1,OG0001081,Q9BGI2
Mcav_TRINITY_GG_5817_c41_g1_i1.p1,OG0000890,NA
Mcav_TRINITY_GG_54111_c2_g1_i3.p1,OG0008340,Q503I8
Mcav_TRINITY_GG_33721_c10_g1_i1.p1,OG0001898,Q5XK83
Mcav_TRINITY_GG_42541_c0_g1_i1.p1,OG0001761,P08579
Mcav_TRINITY_GG_19335_c5_g1_i1.p1,OG0001191,Q9R0S2
Mcav_TRINITY_GG_49427_c18_g1_i1.p1,OG0003478,Q14118
Mcav_TRINITY_GG_45831_c3_g1_i1.p1,OG0005447,O73853
Mcav_TRINITY_GG_27419_c2_g1_i2.p1,OG0005739,Q5ZJK8
Mcav_TRINITY_GG_27209_c6_g1_i1.p1,OG0003563,P49419
Mcav_TRINITY_GG_36033_c3_g1_i3.p1,OG0000838,NA
Mcav_TRINITY_GG_21539_c4_g1_i1.p1,OG0008494,P15170
Mcav_TRINITY_GG_10498_c17_g1_i1.p1,OG0002066,Q99KY4
Mcav_TRINITY_GG_20608_c2_g2_i1.p1,OG0008415,Q6MG61
Mcav_TRINITY_GG_37641_c8_g1_i1.p1,OG0002509,Q969Q5
Mcav_TRINITY_GG_25564_c2_g1_i1.p1,OG0008184,NA
Mcav_TRINITY_GG_38777_c3_g1_i2.p1,OG0000834,Q7T070
Mcav_TRINITY_GG_14088_c20_g2_i1.p1,OG0010898,Q9Y4J8
Mcav_TRINITY_GG_39002_c1_g1_i1.p1,OG0002496,Q8NHU2
Mcav_TRINITY_GG_41130_c42_g1_i1.p1,OG0003071,Q6P5P3
Mcav_TRINITY_GG_61532_c110_g1_i1.p1,OG0001563,Q96LR5
Mcav_TRINITY_GG_52892_c10_g1_i1.p1,OG0008063,P51659
Mcav_TRINITY_GG_58464_c13_g1_i1.p1,OG0001240,P95544
Mcav_TRINITY_GG_24072_c4_g1_i3.p1,OG0008302,Q9ESJ0
Mcav_TRINITY_GG_7896_c96_g1_i1.p1,OG0005980,P60588
Mcav_TRINITY_GG_33089_c10_g1_i1.p1,OG0006170,Q5R4A0
Mcav_TRINITY_GG_41841_c19_g1_i1.p1,OG0000503,Q99805
Mcav_TRINITY_GG_5226_c14_g1_i1.p1,OG0006125,P62489
Mcav_TRINITY_GG_5472_c6_g1_i2.p1,OG0003028,Q552M5
Mcav_TRINITY_GG_35224_c0_g1_i1.p1,OG0002734,Q9P1Y6
Mcav_TRINITY_GG_3567_c2_g1_i3.p1,OG0012755,Q8IWZ3
Mcav_TRINITY_GG_20774_c9_g1_i1.p1,OG0008457,Q6DFQ7
Mcav_TRINITY_GG_33969_c0_g1_i4.p1,OG0010824,NA
Mcav_TRINITY_GG_18421_c70_g1_i1.p1,OG0005701,Q6PAX7
Mcav_TRINITY_GG_50805_c42_g2_i1.p1,OG0000764,Q4LDE5
Mcav_TRINITY_GG_9188_c10_g1_i1.p1,OG0006166,Q9NRL2
Mcav_TRINITY_GG_54625_c4_g1_i1.p1,OG0000514,Q91437
Mcav_TRINITY_GG_56512_c4_g1_i5.p1,OG0012118,O60447
Mcav_TRINITY_GG_41311_c0_g1_i3.p1,OG0012450,A3KG59
Mcav_TRINITY_GG_43897_c4_g1_i1.p1,OG0002905,Q07536
Mcav_TRINITY_GG_27814_c2_g1_i1.p1,OG0000434,NA
Mcav_TRINITY_GG_52338_c3_g2_i2.p1,OG0004093,P18519
Mcav_TRINITY_GG_7102_c4_g1_i2.p1,OG0012283,Q7ZX59
Mcav_TRINITY_GG_34771_c41_g1_i1.p1,OG0000338,NA
Mcav_TRINITY_GG_24249_c0_g1_i1.p1,OG0000269,Q96JB1
Mcav_TRINITY_GG_10242_c0_g2_i1.p1,OG0000091,NA
Mcav_TRINITY_GG_20086_c1_g1_i1.p1,OG0012014,O13166
Mcav_TRINITY_GG_23647_c1_g1_i1.p1,OG0002913,Q7ZV80
Mcav_TRINITY_GG_12562_c0_g1_i1.p1,OG0010267,NA
Mcav_TRINITY_GG_62_c5_g1_i2.p1,OG0003966,Q6P616
Mcav_TRINITY_GG_14120_c1_g1_i1.p1,OG0001050,Q03164
Mcav_TRINITY_GG_45825_c30_g1_i1.p1,OG0000754,Q96DM1
Mcav_TRINITY_GG_61340_c25_g1_i1.p1,OG0012881,C1C4R8
Mcav_TRINITY_GG_5368_c5_g1_i1.p1,OG0005570,Q6PBA8
Mcav_TRINITY_GG_4661_c1_g1_i1.p1,OG0011134,O75521
Mcav_TRINITY_GG_19454_c2_g1_i1.p1,OG0012330,NA
Mcav_TRINITY_GG_46400_c0_g1_i1.p1,OG0008718,B1H1E4
Mcav_TRINITY_GG_5668_c4_g1_i3.p1,OG0004412,P49013
Mcav_TRINITY_GG_2023_c3_g1_i2.p1,OG0000692,F1RRV3
Mcav_TRINITY_GG_58451_c2_g1_i1.p1,OG0008426,Q4ZHR9
Mcav_TRINITY_GG_21562_c9_g1_i1.p1,OG0002519,A5D794
Mcav_TRINITY_GG_10186_c2_g1_i3.p1,OG0002304,A0A0G2L7I0
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,OG0004047,O70475
Mcav_TRINITY_GG_33599_c11_g1_i1.p1,OG0001077,Q8LFQ6
Mcav_TRINITY_GG_50019_c18_g1_i1.p1,OG0007456,O57342
Mcav_TRINITY_GG_36609_c2_g1_i2.p1,OG0004295,Q5F361
Mcav_TRINITY_GG_113_c0_g1_i1.p1,OG0000687,Q28107
Mcav_TRINITY_GG_51066_c2_g1_i1.p1,OG0007198,Q6IQU6
Mcav_TRINITY_GG_10222_c0_g1_i1.p1,OG0002038,NA
Mcav_TRINITY_GG_25875_c1_g1_i1.p1,OG0003120,Q9P2K1
Mcav_TRINITY_GG_27619_c4_g1_i1.p1,OG0002506,NA
Mcav_TRINITY_GG_22346_c0_g1_i1.p2,OG0006982,O42411
Mcav_TRINITY_GG_35090_c8_g1_i1.p1,OG0003923,Q3UPY5
Mcav_TRINITY_GG_9592_c4_g1_i1.p1,OG0001835,Q6INU7
Mcav_TRINITY_GG_55195_c1_g1_i2.p1,OG0002116,NA
Mcav_TRINITY_GG_61848_c11_g1_i4.p1,OG0003251,Q148G4
Mcav_TRINITY_GG_42826_c2_g1_i1.p1,OG0003292,Q8CDF7
Mcav_TRINITY_GG_16903_c6_g1_i2.p1,OG0012491,P92208
Mcav_TRINITY_GG_51345_c4_g1_i1.p1,OG0005789,Q9NYQ6
Mcav_TRINITY_GG_35474_c3_g1_i1.p1,OG0007826,Q9JHW2
Mcav_TRINITY_GG_46170_c3_g1_i1.p1,OG0006005,Q99P72
Mcav_TRINITY_GG_59103_c5_g1_i1.p1,OG0000642,Q9QY94
Mcav_TRINITY_GG_32414_c19_g1_i2.p1,OG0003257,Q8TE57
Mcav_TRINITY_GG_53971_c3_g1_i2.p1,OG0005043,Q9CYL5
Mcav_TRINITY_GG_51540_c1_g1_i1.p1,OG0006689,Q9CYC6
Mcav_TRINITY_GG_29252_c2_g1_i1.p1,OG0007582,Q61382
Mcav_TRINITY_GG_59452_c0_g1_i1.p1,OG0002788,Q1ZXH8
Mcav_TRINITY_GG_23235_c1_g1_i1.p1,OG0003185,NA
Mcav_TRINITY_GG_37546_c1_g1_i1.p1,OG0011871,Q6NRH0
Mcav_TRINITY_GG_61618_c32_g3_i2.p1,OG0002697,O88307
Mcav_TRINITY_GG_19191_c2_g1_i1.p1,OG0003503,Q9I3S3
Mcav_TRINITY_GG_16145_c0_g1_i1.p1,OG0000119,NA
Mcav_TRINITY_GG_61700_c1_g1_i1.p1,OG0001925,NA
Mcav_TRINITY_GG_40990_c4_g1_i6.p1,OG0006195,Q8BRF7
Mcav_TRINITY_GG_42033_c18_g2_i1.p1,OG0006134,O15118
Mcav_TRINITY_GG_32350_c0_g1_i1.p1,OG0006189,O34678
Mcav_TRINITY_GG_14148_c3_g2_i1.p2,OG0008389,Q803U7
Mcav_TRINITY_GG_58477_c2_g1_i1.p1,OG0002733,NA
Mcav_TRINITY_GG_33807_c0_g1_i1.p1,OG0012511,O95835
Mcav_TRINITY_GG_49463_c0_g1_i3.p1,OG0004017,Q6NU07
Mcav_TRINITY_GG_56795_c2_g1_i1.p1,OG0012746,Q4FPT7
Mcav_TRINITY_GG_55590_c8_g1_i1.p1,OG0005493,Q5R762
Mcav_TRINITY_GG_21902_c1_g1_i1.p1,OG0000873,Q8BX79
Mcav_TRINITY_GG_34766_c4_g1_i1.p1,OG0007679,Q9CZQ9
Mcav_TRINITY_GG_32155_c0_g1_i1.p1,OG0007209,A6QL50
Mcav_TRINITY_GG_42672_c3_g2_i1.p1,OG0006075,NA
