Trial_ID,Experiment_Water,River,Population,Grouping,N,Location,Total,Percentage
APKO9_NP_G4,0,1,1,1,6,3,1,17%
APKO9_NP_G4,0,1,1,1,6,1,0,0%
APKO9_NP_G4,0,1,1,1,6,4,0,0%
APKO9_NP_G4,0,1,1,1,6,2,5,83%
APKO8_NP_G4,0,1,1,1,6,5,5,83%
APKO8_NP_G4,0,1,1,1,6,3,0,0%
APKO8_NP_G4,0,1,1,1,6,1,1,17%
APKO8_NP_G4,0,1,1,1,6,4,0,0%
APKO8_NP_G4,0,1,1,1,6,2,0,0%
AMHP5_NP_G4_2,0,0,0,1,6,5,0,0%
AMHP5_NP_G4_2,0,0,0,1,6,3,3,50%
AMHP5_NP_G4_2,0,0,0,1,6,1,1,17%
AMHP5_NP_G4_2,0,0,0,1,6,4,0,0%
AMHP5_NP_G4_2,0,0,0,1,6,2,2,33%
AMHP11_NP_G5,0,0,0,0,6,5,2,33%
AMHP11_NP_G5,0,0,0,0,6,3,3,50%
AMHP11_NP_G5,0,0,0,0,6,1,0,0%
AMHP11_NP_G5,0,0,0,0,6,4,0,0%
AMHP11_NP_G5,0,0,0,0,6,2,1,17%
AMKO3_NP_G5,0,0,1,0,6,5,2,33%
AMKO3_NP_G5,0,0,1,0,6,3,2,33%
AMKO3_NP_G5,0,0,1,0,6,1,1,17%
AMKO3_NP_G5,0,0,1,0,6,4,0,0%
AMKO3_NP_G5,0,0,1,0,6,2,1,17%
APHP12_NP_G5,0,1,0,1,6,5,0,0%
APHP12_NP_G5,0,1,0,1,6,3,3,50%
APHP12_NP_G5,0,1,0,1,6,1,0,0%
APHP12_NP_G5,0,1,0,1,6,4,0,0%
APHP12_NP_G5,0,1,0,1,6,2,3,50%
APKO18_NP_G5,0,1,1,1,6,5,1,17%
APKO18_NP_G5,0,1,1,1,6,3,1,17%
APKO18_NP_G5,0,1,1,1,6,1,1,17%
APKO18_NP_G5,0,1,1,1,6,4,0,0%
APKO18_NP_G5,0,1,1,1,6,2,3,50%
AMKO2_NP_G6,0,0,1,1,6,5,0,0%
AMKO2_NP_G6,0,0,1,1,6,3,0,0%
AMKO2_NP_G6,0,0,1,1,6,1,1,17%
AMKO2_NP_G6,0,0,1,1,6,4,0,0%
AMKO2_NP_G6,0,0,1,1,6,2,4,67%
APHP16_NP_G6,0,1,0,1,6,5,0,0%
APHP16_NP_G6,0,1,0,1,6,3,1,17%
APHP16_NP_G6,0,1,0,1,6,1,0,0%
APHP16_NP_G6,0,1,0,1,6,4,0,0%
APHP16_NP_G6,0,1,0,1,6,2,5,83%
AMHP11_P_G2,1,0,0,1,5,5,2,40%
AMHP11_P_G2,1,0,0,1,5,3,3,60%
AMHP11_P_G2,1,0,0,1,5,0,0,0%
AMHP11_P_G2,1,0,0,1,5,4,0,0%
AMHP11_P_G2,1,0,0,1,5,2,0,0%
AMKO11_P_G2,1,0,1,1,10,5,0,0%
AMKO11_P_G2,1,0,1,1,10,3,10,100%
AMKO11_P_G2,1,0,1,1,10,0,0,0%
AMKO11_P_G2,1,0,1,1,10,4,0,0%
AMKO11_P_G2,1,0,1,1,10,2,0,0%
APHP7_P_G2,1,1,0,0,5,5,0,0%
APHP7_P_G2,1,1,0,0,5,3,1,20%
APHP7_P_G2,1,1,0,0,5,0,0,0%
APHP7_P_G2,1,1,0,0,5,4,0,0%
APHP7_P_G2,1,1,0,0,5,2,4,80%
AMKO13_P_G2,1,0,1,1,10,5,0,0%
AMKO13_P_G2,1,0,1,1,10,3,10,100%
AMKO13_P_G2,1,0,1,1,10,0,0,0%
AMKO13_P_G2,1,0,1,1,10,4,0,0%
AMKO13_P_G2,1,0,1,1,10,2,0,0%
AMHP5_P_G3,1,0,0,0,6,5,1,17%
AMHP5_P_G3,1,0,0,0,6,3,0,0%
AMHP5_P_G3,1,0,0,0,6,0,0,0%
AMHP5_P_G3,1,0,0,0,6,4,0,0%
AMHP5_P_G3,1,0,0,0,6,2,5,83%
APKO8_P_G3,1,1,1,1,6,5,0,0%
APKO8_P_G3,1,1,1,1,6,3,3,50%
APKO8_P_G3,1,1,1,1,6,0,0,0%
APKO8_P_G3,1,1,1,1,6,4,2,33%
APKO8_P_G3,1,1,1,1,6,2,1,17%
APHP1_P_G3,1,1,0,0,6,5,1,17%
APHP1_P_G3,1,1,0,0,6,3,3,50%
APHP1_P_G3,1,1,0,0,6,0,1,17%
APHP1_P_G3,1,1,0,0,6,4,0,0%
APHP1_P_G3,1,1,0,0,6,2,1,17%
AMKO19_P_G3,1,0,1,0,6,5,2,33%
AMKO19_P_G3,1,0,1,0,6,3,2,33%
AMKO19_P_G3,1,0,1,0,6,0,0,0%
AMKO19_P_G3,1,0,1,0,6,4,0,0%
AMKO19_P_G3,1,0,1,0,6,2,2,33%
APKO9_P_G3,1,1,1,0,6,5,1,17%
APKO9_P_G3,1,1,1,0,6,3,5,83%
APKO9_P_G3,1,1,1,0,6,0,0,0%
APKO9_P_G3,1,1,1,0,6,4,0,0%
APKO9_P_G3,1,1,1,0,6,2,0,0%
APHP16_P_G4,1,1,0,0,6,5,1,17%
APHP16_P_G4,1,1,0,0,6,3,0,0%
APHP16_P_G4,1,1,0,0,6,0,0,0%
APHP16_P_G4,1,1,0,0,6,4,0,0%
APHP16_P_G4,1,1,0,0,6,2,5,83%
AMHP5_P_G4,1,0,0,0,6,5,2,33%
AMHP5_P_G4,1,0,0,0,6,3,2,33%
AMHP5_P_G4,1,0,0,0,6,0,0,0%
AMHP5_P_G4,1,0,0,0,6,4,1,17%
AMHP5_P_G4,1,0,0,0,6,2,1,17%
APKO9_P_G4,1,1,1,1,6,5,0,0%
APKO9_P_G4,1,1,1,1,6,3,0,0%
APKO9_P_G4,1,1,1,1,6,0,0,0%
APKO9_P_G4,1,1,1,1,6,4,0,0%
APKO9_P_G4,1,1,1,1,6,2,6,100%
APKO8_P_G4,1,1,1,0,6,5,1,17%
APKO8_P_G4,1,1,1,0,6,3,1,17%
APKO8_P_G4,1,1,1,0,6,0,2,33%
APKO8_P_G4,1,1,1,0,6,4,0,0%
APKO8_P_G4,1,1,1,0,6,2,2,33%
AMHP5_P_G4_2,1,0,0,0,6,5,3,50%
AMHP5_P_G4_2,1,0,0,0,6,3,1,17%
AMHP5_P_G4_2,1,0,0,0,6,0,0,0%
AMHP5_P_G4_2,1,0,0,0,6,4,0,0%
AMHP5_P_G4_2,1,0,0,0,6,2,2,33%
AMHP11_P_G5,1,0,0,1,6,5,3,50%
AMHP11_P_G5,1,0,0,1,6,3,0,0%
AMHP11_P_G5,1,0,0,1,6,0,0,0%
AMHP11_P_G5,1,0,0,1,6,4,2,33%
AMHP11_P_G5,1,0,0,1,6,2,1,17%
AMKO3_P_G5,1,0,1,1,6,5,3,50%
AMKO3_P_G5,1,0,1,1,6,3,0,0%
AMKO3_P_G5,1,0,1,1,6,0,1,17%
AMKO3_P_G5,1,0,1,1,6,4,0,0%
AMKO3_P_G5,1,0,1,1,6,2,2,33%
APHP12_P_G5,1,1,0,0,6,5,2,33%
APHP12_P_G5,1,1,0,0,6,3,1,17%
APHP12_P_G5,1,1,0,0,6,0,0,0%
APHP12_P_G5,1,1,0,0,6,4,2,33%
APHP12_P_G5,1,1,0,0,6,2,1,17%
APKO18_P_G5,1,1,1,1,6,5,1,17%
APKO18_P_G5,1,1,1,1,6,3,1,17%
APKO18_P_G5,1,1,1,1,6,0,0,0%
APKO18_P_G5,1,1,1,1,6,4,0,0%
APKO18_P_G5,1,1,1,1,6,2,4,67%
AMKO2_P_G6,1,0,1,0,6,5,0,0%
AMKO2_P_G6,1,0,1,0,6,3,3,50%
AMKO2_P_G6,1,0,1,0,6,0,1,17%
AMKO2_P_G6,1,0,1,0,6,4,0,0%
AMKO2_P_G6,1,0,1,0,6,2,2,33%
APHP16_P_G6,1,1,0,0,6,5,0,0%
APHP16_P_G6,1,1,0,0,6,3,1,17%
APHP16_P_G6,1,1,0,0,6,0,0,0%
APHP16_P_G6,1,1,0,0,6,4,0,0%
APHP16_P_G6,1,1,0,0,6,2,5,83%
