Mcav_protein_seq,Human_gene_name,Human_gene_pfam,Orthogroup,Entry
Mcav_TRINITY_GG_12375_c4_g1_i2.p1,NP_000538.3,PF12661.11,OG0005162,P10079
Mcav_TRINITY_GG_12546_c5_g1_i1.p1,NP_690863.1,PF01266.28,OG0007548,Q6DCP1
Mcav_TRINITY_GG_12546_c5_g1_i1.p1,NP_000889.3,PF01266.28,OG0007548,Q6DCP1
Mcav_TRINITY_GG_12546_c5_g1_i1.p1,NP_000231.1,PF01266.28,OG0007548,Q6DCP1
Mcav_TRINITY_GG_12570_c2_g1_i1.p1,NP_000538.3,PF00008.31,OG0009963,O16025
Mcav_TRINITY_GG_12570_c2_g1_i1.p1,NP_000541.1,PF07974.17,OG0009963,O16025
Mcav_TRINITY_GG_12570_c2_g1_i1.p1,NP_000538.3,PF12661.11,OG0009963,O16025
Mcav_TRINITY_GG_12586_c2_g1_i1.p1,NP_002677.1,PF08242.16,OG0001506,Q9UTA9
Mcav_TRINITY_GG_12586_c2_g1_i1.p1,NP_000745.1,PF13847.10,OG0001506,Q9UTA9
Mcav_TRINITY_GG_12586_c2_g1_i1.p1,NP_002677.1,PF08241.16,OG0001506,Q9UTA9
Mcav_TRINITY_GG_12586_c2_g1_i1.p1,NP_000745.1,PF01135.23,OG0001506,Q9UTA9
Mcav_TRINITY_GG_12586_c2_g1_i1.p1,NP_002677.1,PF13489.10,OG0001506,Q9UTA9
Mcav_TRINITY_GG_1274_c3_g1_i3.p1,NP_000363.1,PF06305.15,OG0004085,P07898
Mcav_TRINITY_GG_12758_c0_g1_i2.p1,NP_002677.1,PF08242.16,OG0011963,O43709
Mcav_TRINITY_GG_12758_c0_g1_i2.p1,NP_000745.1,PF13847.10,OG0011963,O43709
Mcav_TRINITY_GG_12758_c0_g1_i2.p1,NP_002677.1,PF13489.10,OG0011963,O43709
Mcav_TRINITY_GG_12758_c0_g1_i2.p1,NP_002677.1,PF08241.16,OG0011963,O43709
Mcav_TRINITY_GG_1303_c2_g1_i1.p1,NP_000541.1,PF11174.12,OG0010256,NA
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000231.1,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000659.2,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000658.1,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000663.1,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_690863.1,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000660.1,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000889.3,PF02254.22,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000660.1,PF02826.23,OG0007765,A0JM24
Mcav_TRINITY_GG_13193_c1_g1_i7.p1,NP_000663.1,PF02826.23,OG0007765,A0JM24
Mcav_TRINITY_GG_13272_c3_g1_i1.p1,NP_000538.3,PF00084.24,OG0004214,P0C6B8
Mcav_TRINITY_GG_13272_c3_g1_i1.p1,NP_000541.1,PF21314.1,OG0004214,P0C6B8
Mcav_TRINITY_GG_13344_c0_g1_i1.p1,NP_000538.3,PF03098.19,OG0003643,Q9C9U3
Mcav_TRINITY_GG_13867_c16_g1_i1.p1,NP_000745.1,PF13847.10,OG0000397,NA
Mcav_TRINITY_GG_13867_c16_g1_i1.p1,NP_002677.1,PF08241.16,OG0000397,NA
Mcav_TRINITY_GG_13867_c16_g1_i1.p1,NP_002677.1,PF08242.16,OG0000397,NA
Mcav_TRINITY_GG_13867_c16_g1_i1.p1,NP_002677.1,PF13489.10,OG0000397,NA
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000538.3,PF00008.31,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000538.3,PF12661.11,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000541.1,PF07974.17,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000541.1,PF00053.28,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_001913.2,PF00053.28,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000538.3,PF12947.11,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000538.3,PF07645.19,OG0004464,P60882
Mcav_TRINITY_GG_14128_c4_g1_i1.p1,NP_000363.1,PF00053.28,OG0004464,P60882
Mcav_TRINITY_GG_1434_c5_g1_i2.p1,NP_002141.2,PF00903.29,OG0012367,Q5SGE0
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000344.1,PF00266.23,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000344.1,PF01212.25,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_002071.2,PF00155.25,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000781.2,PF00155.25,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000344.1,PF00155.25,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000344.1,PF01041.21,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_002070.1,PF00155.25,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000344.1,PF01053.24,OG0004270,O54694
Mcav_TRINITY_GG_14408_c5_g1_i2.p1,NP_000781.2,PF01212.25,OG0004270,O54694
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF00890.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF01946.21,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF13450.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF07992.18,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF01494.23,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF01593.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF03486.18,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF00070.31,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF00890.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF05834.16,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF00070.31,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF01494.23,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF01266.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF13738.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF01593.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF13454.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF13450.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF05834.16,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF13454.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF03486.18,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF01593.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF03486.18,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF07992.18,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF00070.31,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF13454.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF01266.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF01946.21,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF13738.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_690863.1,PF01946.21,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF13450.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF05834.16,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF01494.23,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF13738.10,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000889.3,PF00890.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF01266.28,OG0002096,P35903
Mcav_TRINITY_GG_14641_c0_g2_i5.p1,NP_000231.1,PF07992.18,OG0002096,P35903
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF03486.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF13738.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF13450.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF01593.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF01266.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF07992.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF01134.26,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF01946.21,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF01134.26,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF00890.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF05834.16,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF13454.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF13450.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF05834.16,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF13450.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF13454.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF07992.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF01946.21,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF01266.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF01134.26,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF05834.16,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF13454.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF01266.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF00890.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF07992.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF00070.31,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF00890.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF03486.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF03486.18,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF01593.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF01593.28,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF01946.21,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000231.1,PF13738.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF13738.10,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_000889.3,PF00070.31,OG0005018,NA
Mcav_TRINITY_GG_14651_c9_g2_i1.p1,NP_690863.1,PF00070.31,OG0005018,NA
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000889.3,PF13450.10,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000889.3,PF01266.28,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF02737.22,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000659.2,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000889.3,PF01262.25,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000659.2,PF01262.25,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000658.1,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF01266.28,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF00070.31,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000231.1,PF01262.25,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000889.3,PF00070.31,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000663.1,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF01262.25,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000231.1,PF07992.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000658.1,PF01262.25,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000231.1,PF13450.10,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000889.3,PF07992.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF13450.10,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_690863.1,PF07992.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000660.1,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000231.1,PF01266.28,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000231.1,PF00070.31,OG0007745,P00348
Mcav_TRINITY_GG_14834_c7_g1_i1.p1,NP_000661.2,PF03721.18,OG0007745,P00348
Mcav_TRINITY_GG_14893_c0_g1_i1.p1,NP_000363.1,PF06305.15,OG0005712,NA
Mcav_TRINITY_GG_14952_c6_g1_i1.p1,NP_000778.3,PF03712.19,OG0000416,Q90YV7
Mcav_TRINITY_GG_15257_c0_g1_i1.p1,NP_665877.1,PF14497.10,OG0001838,D3ZAT9
Mcav_TRINITY_GG_15257_c0_g1_i1.p1,NP_665877.1,PF00043.29,OG0001838,D3ZAT9
Mcav_TRINITY_GG_15257_c0_g1_i1.p1,NP_665877.1,PF13410.10,OG0001838,D3ZAT9
Mcav_TRINITY_GG_15257_c0_g1_i1.p1,NP_665877.1,PF17172.8,OG0001838,D3ZAT9
Mcav_TRINITY_GG_15613_c2_g1_i4.p2,NP_000685.1,PF00171.26,OG0004070,Q5RC70
Mcav_TRINITY_GG_15613_c2_g1_i4.p2,NP_001317079.1,PF00171.26,OG0004070,Q5RC70
Mcav_TRINITY_GG_15613_c2_g1_i4.p2,NP_000684.2,PF00171.26,OG0004070,Q5RC70
Mcav_TRINITY_GG_15613_c2_g1_i4.p2,NP_001026786.3,PF00171.26,OG0004070,Q5RC70
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_000660.1,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_690863.1,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_690863.1,PF13241.10,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_000658.1,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_000659.2,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_690863.1,PF02737.22,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_000663.1,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_15675_c3_g1_i1.p1,NP_000661.2,PF03721.18,OG0004047,O70475
Mcav_TRINITY_GG_16169_c1_g1_i1.p1,NP_000745.1,PF13847.10,OG0007390,Q5C9L6
Mcav_TRINITY_GG_16169_c1_g1_i1.p1,NP_002677.1,PF08241.16,OG0007390,Q5C9L6
Mcav_TRINITY_GG_16169_c1_g1_i1.p1,NP_002677.1,PF08242.16,OG0007390,Q5C9L6
Mcav_TRINITY_GG_16169_c1_g1_i1.p1,NP_002677.1,PF13489.10,OG0007390,Q5C9L6
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000662.3,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000658.1,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000661.2,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000662.3,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000660.1,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000660.1,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000663.1,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000658.1,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000661.2,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000659.2,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000663.1,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_001159976.1,PF00107.30,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16312_c0_g1_i1.p1,NP_000659.2,PF13602.10,OG0008553,Q8BGC4
Mcav_TRINITY_GG_16399_c7_g1_i2.p1,NP_000538.3,PF14670.10,OG0006026,Q9P2N4
Mcav_TRINITY_GG_16399_c7_g1_i2.p1,NP_000538.3,PF12662.11,OG0006026,Q9P2N4
Mcav_TRINITY_GG_1664_c18_g1_i1.p1,NP_000538.3,PF00008.31,OG0004478,B3EWZ6
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF07645.19,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF14670.10,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF12662.11,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF00084.24,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF12661.11,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16661_c1_g1_i1.p1,NP_000538.3,PF12947.11,OG0000353,Q8HYB7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_000658.1,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_000661.2,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_000659.2,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_000660.1,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_000663.1,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_690863.1,PF02737.22,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16902_c89_g1_i1.p1,NP_690863.1,PF03721.18,OG0011294,Q8N3Y7
Mcav_TRINITY_GG_16909_c0_g1_i1.p1,NP_000231.1,PF07687.18,OG0000746,Q8IYS1
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_690863.1,PF07992.18,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_000889.3,PF07992.18,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_000889.3,PF00070.31,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_690863.1,PF00070.31,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_000231.1,PF07992.18,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16928_c1_g1_i1.p1,NP_000231.1,PF00070.31,OG0005969,Q9Z0J5
Mcav_TRINITY_GG_16982_c0_g1_i1.p1,NP_000778.3,PF01082.24,OG0001197,Q9CXI3
Mcav_TRINITY_GG_16982_c0_g1_i1.p1,NP_000778.3,PF03712.19,OG0001197,Q9CXI3
Mcav_TRINITY_GG_16982_c0_g1_i1.p1,NP_000778.3,PF03351.21,OG0001197,Q9CXI3
Mcav_TRINITY_GG_17202_c13_g1_i1.p1,NP_002677.1,PF08241.16,OG0011751,P13255
Mcav_TRINITY_GG_17202_c13_g1_i1.p1,NP_000745.1,PF13847.10,OG0011751,P13255
Mcav_TRINITY_GG_17202_c13_g1_i1.p1,NP_002677.1,PF08242.16,OG0011751,P13255
Mcav_TRINITY_GG_17202_c13_g1_i1.p1,NP_002677.1,PF13489.10,OG0011751,P13255
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF05834.16,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF03486.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF03486.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF01946.21,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF00070.31,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF03486.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF05834.16,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF01946.21,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF01593.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF07992.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF01266.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF01593.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF01946.21,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF00890.28,OG0001041,NA
